Station,Element,startDate,endDate,Latitude,Longitude,numObs,maxValue,minValue,meanValue,sumValue,dly_norm_sum,dly_norm_avg,numObs_norm,name
228053,prcp,04/01/2008,05/01/2008,31.86056,-88.69639,30,1.72,0.00,0.21,6.37,5.27,0.18,30,SHUBUTA
148156,prcp,04/01/2008,05/01/2008,39.03139,-95.05222,30,0.89,0.00,0.13,4.03,3.37,0.11,30,TONGANOXIE
410902,prcp,04/01/2008,05/01/2008,29.79778,-98.73472,30,0.46,0.00,0.02,0.69,2.87,0.1,30,BOERNE
144333,prcp,04/01/2008,05/01/2008,37.92833,-99.36556,30,0.77,0.00,0.08,2.47,2.46,0.08,30,KINSLEY
154893,prcp,04/01/2008,05/01/2008,37.14750,-84.08333,3,0.08,0.00,0.03,0.08,NA,NA,0,LONDON
409866,prcp,04/01/2008,05/01/2008,35.84278,-86.08750,29,1.24,0.00,0.12,3.43,4.34,0.14,30,WOODBURY 1 WNW
415999,prcp,04/01/2008,05/01/2008,31.54139,-102.91222,28,0.06,0.00,0.00,0.06,0.55,0.02,30,MONAHANS
035018,prcp,04/01/2008,05/01/2008,35.64944,-94.15417,30,4.03,0.00,0.27,8.16,4.92,0.16,30,MOUNTAINBURG
231674,prcp,04/01/2008,05/01/2008,37.13194,-90.77556,25,2.00,0.00,0.34,8.43,4.5,0.15,30,CLEARWATER DAM
412633,prcp,04/01/2008,05/01/2008,33.81583,-98.93167,30,2.00,0.00,0.09,2.79,2.14,0.07,30,DUNDEE 6 NNW
030006,prcp,04/01/2008,05/01/2008,35.07639,-94.20250,30,4.06,0.00,0.27,7.97,4.5,0.15,30,ABBOTT
145680,prcp,04/01/2008,05/01/2008,38.37056,-95.98917,30,1.75,0.00,0.12,3.74,3.25,0.11,30,NEOSHO RAPIDS
034010,prcp,04/01/2008,05/01/2008,34.85111,-92.48889,30,1.92,0.00,0.22,6.67,4.87,0.16,30,LAKE MAUMELLE
342849,prcp,04/01/2008,05/01/2008,35.39250,-99.50639,25,2.19,0.00,0.09,2.36,2.45,0.08,30,ELK CITY 4 W
410345,prcp,04/01/2008,05/01/2008,26.83389,-97.70778,30,0.97,0.00,0.04,1.09,NA,NA,0,ARMSTRONG 4SE
167738,prcp,04/01/2008,05/01/2008,32.42194,-93.63806,30,1.30,0.00,0.08,2.31,4.57,0.15,30,RED RIVER RSCH STN
145115,prcp,04/01/2008,05/01/2008,38.58722,-99.57306,30,0.85,0.00,0.09,2.55,2.09,0.07,30,MCCRACKEN
401480,prcp,04/01/2008,05/01/2008,36.24556,-85.94444,30,1.86,0.00,0.17,5.07,4.0,0.13,30,CARTHAGE
167732,prcp,04/01/2008,05/01/2008,31.18722,-92.29056,30,2.80,0.00,0.18,5.31,4.86,0.16,30,RED RIVER LOCK #2
413691,prcp,04/01/2008,05/01/2008,32.95056,-97.05528,30,1.62,0.00,0.16,4.86,3.37,0.11,30,GRAPEVINE DAM
144608,prcp,04/01/2008,05/01/2008,38.41611,-95.85083,30,1.15,0.00,0.10,3.01,3.26,0.11,30,LEBO
154095,prcp,04/01/2008,05/01/2008,37.18528,-83.43417,30,1.21,0.00,0.17,5.18,NA,NA,0,HYDEN 4NW
227831,prcp,04/01/2008,05/01/2008,32.58611,-90.62611,30,1.62,0.00,0.19,5.60,NA,NA,0,SATARTIA 8 SW
140548,prcp,04/01/2008,05/01/2008,37.04861,-95.21444,30,3.25,0.00,0.28,8.38,NA,NA,0,BARTLETT
031442,prcp,04/01/2008,05/01/2008,34.69278,-91.29833,30,3.35,0.00,0.43,12.82,5.12,0.17,30,CLARENDON
035707,prcp,04/01/2008,05/01/2008,35.88139,-93.55111,30,3.78,0.00,0.28,8.34,NA,NA,0,PETTIGREW 6NE
146549,prcp,04/01/2008,05/01/2008,37.64556,-98.72806,16,0.30,0.00,0.03,0.47,2.73,0.09,30,PRATT
